Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RecordID,IncomePerWorkingYear,ExperienceLevel,PromotionRate,TenureGroup,HighIncomeIndicator
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,16790.5,22822,3,No,12,3,4,0,22.0,2,2,2.0,2,2,1,100030,730.0217391304348,Senior,0.6666666666666666,1–3 Years,1
33,No,Travel_Rarely,924,Research and Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,No,11,3,4,0,7.0,3,3,1.0,1,0,0,100031,312.0,Mid,0.0,0–1 Years,0
44,No,Travel_Rarely,1459,Research and Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Yes,13,3,4,0,9.0,5,4,4.0,2,1,3,100032,646.5,Mid,0.2,3–5 Years,1
36,No,Travel_Rarely,125,Research and Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,No,13,3,1,0,10.0,5,3,10.0,0,1,8,100033,200.54545454545453,Mid,0.09090909090909091,5+ Years,0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,No,14,3,3,1,19.0,6,4,1.0,0,0,0,100034,104.3,Senior,0.0,0–1 Years,0
24,Yes,Travel_Rarely,813,Research and Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,Yes,16,3,1,1,6.0,2,2,2.0,0,2,0,100035,327.57142857142856,Mid,0.6666666666666666,1–3 Years,0
43,No,Travel_Rarely,1273,Research and Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,No,12,3,4,2,6.0,3,2,5.0,3,1,4,100036,377.85714285714283,Mid,0.16666666666666666,3–5 Years,0
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,Yes,14,3,3,0,3.0,2,3,3.0,2,0,2,100037,670.75,Junior,0.0,1–3 Years,0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1,No,13,3,1,0,2.0,3,3,2.0,2,2,2,100038,671.3333333333334,Junior,0.6666666666666666,1–3 Years,0
36,No,Travel_Rarely,852,Research and Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Yes,14,3,4,1,6.0,3,4,1.0,1,0,0,100039,488.42857142857144,Mid,0.0,0–1 Years,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,No,19,3,1,2,10.0,3,3,5.0,3,1,3,100040,488.72727272727275,Mid,0.16666666666666666,3–5 Years,1
35,No,Travel_Rarely,464,Research and Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,4945.5,10910,1,No,12,3,3,1,1.0,3,3,1.0,0,0,0,100041,2472.75,Junior,0.0,0–1 Years,0
27,No,Travel_Rarely,1240,Research and Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,No,13,3,4,1,1.0,6,3,1.0,0,0,0,100122,1170.5,Junior,0.0,0–1 Years,0
26,Yes,Travel_Rarely,1357,Research and Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,No,12,3,3,0,1.0,2,2,1.0,0,0,1,100043,1146.5,Junior,0.0,0–1 Years,0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,,3,Single,4945.5,2975,1,No,15,3,4,0,9.0,0,3,9.0,8,1,7,100044,494.55,Mid,0.1,5+ Years,0
36,No,Travel_Frequently,721,Research and Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,No,23,4,4,0,12.0,2,3,12.0,8,3,7,100045,308.53846153846155,Senior,0.23076923076923078,5+ Years,0
41,Yes,Travel_Rarely,1360,Research and Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,16790.5,16280,1,No,12,3,4,0,23.0,0,3,22.0,15,15,8,100046,699.6041666666666,Senior,0.6521739130434783,5+ Years,1
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,No,20,4,3,0,10.0,2,3,9.0,5,8,7,100047,415.27272727272725,Mid,0.8,5+ Years,0
37,No,Travel_Rarely,408,Research and Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,No,21,4,1,0,8.0,1,3,1.0,0,0,0,100048,335.77777777777777,Mid,0.0,0–1 Years,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,Yes,21,4,3,0,14.0,4,3,9.0,6,0,8,100049,384.8,Senior,0.0,5+ Years,1
35,No,Travel_Rarely,1229,Research and Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,No,19,3,4,0,1.0,2,3,1.0,0,0,1,100050,1134.5,Junior,0.0,0–1 Years,0
48,Yes,Travel_Rarely,626,Research and Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,9,Yes,13,3,4,0,23.0,2,3,1.0,0,0,0,100051,224.20833333333334,Senior,0.0,0–1 Years,1
28,Yes,Travel_Rarely,1434,Research and Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179,1,Yes,13,3,3,0,2.0,3,2,2.0,2,2,2,100052,1147.0,Junior,0.6666666666666666,1–3 Years,0
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Yes,21,4,3,1,9.0,2,2,4.0,3,1,3,100053,545.4,Mid,0.2,3–5 Years,1
35,No,Non-Travel,1097,Research and Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,Yes,13,3,3,1,10.0,3,3,4.0,0,2,3,100054,898.5454545454545,Mid,0.4,3–5 Years,1
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7,Yes,19,3,3,1,5.0,2,2,2.0,2,0,0,100055,692.8333333333334,Mid,0.0,1–3 Years,0
33,No,Travel_Frequently,515,Research and Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1,Yes,12,3,3,0,15.0,1,3,15.0,14,8,12,100056,841.125,Senior,0.5,5+ Years,1
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,No,22,4,4,1,9.0,3,2,9.0,8,1,8,100057,906.9,Mid,0.1,5+ Years,1
35,No,Travel_Rarely,1142,Research and Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4945.5,16002,3,Yes,15,3,3,1,4.0,3,3,2.0,2,2,2,100058,989.1,Mid,0.6666666666666666,1–3 Years,0
31,No,Travel_Rarely,655,Research and Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,No,22,4,4,1,10.0,3,2,7.0,7,1,7,100059,537.7272727272727,Mid,0.125,5+ Years,1
37,No,Travel_Rarely,1115,Research and Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,No,18,3,3,1,7.0,2,4,7.0,5,0,7,100060,749.125,Mid,0.0,5+ Years,1
32,No,Travel_Rarely,427,Research and Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,Yes,22,4,2,1,9.0,3,3,9.0,8,7,8,100061,616.2,Mid,0.7,5+ Years,1
38,No,Travel_Frequently,653,Research and Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,No,11,3,4,0,10.0,2,3,10.0,3,9,9,100062,218.72727272727272,Mid,0.8181818181818182,5+ Years,0
50,No,Travel_Rarely,989,Research and Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,16790.5,16701,5,Yes,12,3,4,1,29.0,2,2,27.0,3,13,8,100063,559.6833333333333,Senior,0.4642857142857143,5+ Years,1
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,No,11,3,4,0,28.0,3,2,21.0,16,7,9,100064,263.3448275862069,Senior,0.3181818181818182,5+ Years,1
36,No,Travel_Rarely,1223,Research and Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,4945.5,8202,1,No,13,3,2,3,17.0,2,3,17.0,14,12,8,100065,274.75,Senior,0.6666666666666666,5+ Years,0
36,No,Travel_Rarely,836,Research and Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2,Yes,14,3,3,3,21.0,2,3,5.0,0,0,2,100066,670.7272727272727,Senior,0.0,3–5 Years,1
36,No,Travel_Frequently,1195,Research and Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,No,13,3,3,0,6.0,3,3,6.0,5,0,3,100067,928.4285714285714,Mid,0.0,5+ Years,1
45,No,Travel_Rarely,1339,Research and Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,No,17,3,3,1,25.0,2,3,1.0,0,0,0,100068,374.0,Senior,0.0,0–1 Years,1
35,No,Travel_Frequently,664,Research and Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,No,13,3,4,1,5.0,2,2,5.0,2,1,2,100069,365.6666666666667,Mid,0.16666666666666666,3–5 Years,0
36,Yes,Travel_Rarely,318,Research and Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0,Yes,17,3,1,1,2.0,0,2,1.0,0,0,0,100070,1129.3333333333333,Junior,0.0,0–1 Years,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,No,11,3,4,0,20.0,2,2,4.0,3,1,3,100071,260.6190476190476,Senior,0.2,3–5 Years,1
29,No,Travel_Rarely,1328,Research and Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0,No,23,4,4,1,6.0,3,3,5.0,4,0,4,100072,386.14285714285717,Mid,0.0,3–5 Years,0
36,No,Travel_Rarely,1082,Research and Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,No,17,3,2,0,1.0,4,3,1.0,1,1,0,100073,1250.5,Junior,0.5,0–1 Years,0
32,No,Travel_Rarely,548,Research and Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1,No,17,3,2,2,10.0,3,3,5.0,4,0,9,100074,565.4545454545455,Mid,0.0,3–5 Years,1
36,No,Travel_Rarely,132,Research and Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,No,12,3,2,0,5.0,3,3,1.0,0,0,0,100075,506.3333333333333,Mid,0.0,0–1 Years,0
31,No,Travel_Rarely,746,Research and Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,No,23,4,4,0,11.0,2,3,11.0,7,1,8,100076,368.6666666666667,Senior,0.08333333333333333,5+ Years,0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,No,14,3,2,0,16.0,2,3,15.0,13,2,8,100077,253.64705882352942,Senior,0.125,5+ Years,0
45,No,Travel_Rarely,193,Research and Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245.0,15067,4,Yes,14,3,2,0,17.0,3,4,0.0,0,0,0,100078,735.8333333333334,Senior,0.0,0–1 Years,1
37,No,Travel_Rarely,397,Research and Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,No,13,3,1,0,16.0,3,4,5.0,2,0,2,100079,803.7647058823529,Senior,0.0,3–5 Years,1
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,Yes,22,4,4,1,16.0,2,3,4.0,2,0,2,100080,295.3529411764706,Senior,0.0,3–5 Years,1
30,No,Travel_Rarely,852,Research and Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998,1,Yes,12,3,3,2,10.0,1,2,5.0,8,3,0,100081,466.0,Mid,0.5,3–5 Years,1
35,No,Travel_Rarely,1214,Research and Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1,No,18,3,1,0,6.0,3,3,6.0,4,0,4,100082,408.42857142857144,Mid,0.0,5+ Years,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,No,14,3,4,1,24.0,4,3,1.0,0,1,0,100083,409.56,Senior,0.5,0–1 Years,1
36,No,Non-Travel,573,Research and Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Yes,12,3,4,3,17.0,3,3,13.0,11,1,9,100084,296.05555555555554,Senior,0.07142857142857142,5+ Years,1
34,No,Travel_Rarely,1153,Research and Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,No,15,3,3,0,5.0,2,3,5.0,2,1,3,100085,720.8333333333334,Mid,0.16666666666666666,3–5 Years,0
36,No,Travel_Rarely,1400,Research and Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4,No,11,3,1,0,37.0,3,2,6.0,4,0,2,100086,191.05263157894737,Senior,0.0,5+ Years,1
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,No,13,3,3,1,3.0,3,3,0.0,0,0,0,100087,580.5,Junior,0.0,0–1 Years,0
51,No,Travel_Rarely,432,Research and Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,No,23,4,2,2,10.0,4,3,4.0,2,0,3,100088,188.63636363636363,Mid,0.0,3–5 Years,0
30,No,Travel_Rarely,288,Research and Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,No,19,3,1,3,11.0,3,3,11.0,10,10,8,100089,346.0,Senior,0.8333333333333334,5+ Years,0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,No,16,3,4,0,9.0,3,3,9.0,8,4,7,100090,961.9,Mid,0.4,5+ Years,1
40,No,Travel_Frequently,530,Research and Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,No,22,4,4,1,22.0,3,2,22.0,3,11,11,100091,587.0869565217391,Senior,0.4782608695652174,5+ Years,1
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,Yes,22,4,4,0,11.0,2,1,10.0,7,1,0,100092,453.4166666666667,Senior,0.09090909090909091,5+ Years,1
30,No,Travel_Rarely,1334,Sales,4,2,Life Sciences,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,Yes,12,3,2,3,11.0,4,2,11.0,8,2,7,100093,434.0833333333333,Senior,0.16666666666666666,5+ Years,1
46,No,Travel_Frequently,638,Research and Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2,Yes,13,3,3,1,21.0,5,2,10.0,9,9,5,100094,485.1363636363636,Senior,0.8181818181818182,5+ Years,1
32,No,Travel_Rarely,1093,Sales,6,4,Life Sciences,125,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,No,16,3,1,0,12.0,0,3,11.0,8,5,7,101449,385.38461538461536,Senior,0.4166666666666667,5+ Years,1
54,No,Travel_Rarely,1217,Research and Development,2,4,Technical Degree,126,1,Female,60,3,3,,3,Married,4945.5,24001,9,No,12,3,1,1,16.0,5,1,4.0,3,0,3,100096,290.9117647058824,Senior,0.0,3–5 Years,0
24,No,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,No,21,4,1,1,10.0,2,2,3.0,2,0,2,100097,454.45454545454544,Mid,0.0,1–3 Years,1
28,No,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,No,15,3,2,0,5.0,3,4,5.0,4,0,4,100098,703.5,Mid,0.0,3–5 Years,0
58,No,Travel_Rarely,682,Sales,10,4,Life Sciences,131,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409,0,No,13,3,3,0,38.0,1,2,37.0,10,1,8,100099,355.6923076923077,Senior,0.02631578947368421,5+ Years,1
44,No,Non-Travel,489,Research and Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,No,12,3,3,1,17.0,3,4,3.0,2,1,2,100100,113.44444444444444,Senior,0.25,1–3 Years,0
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,,1,Divorced,2073.0,23648,4,Yes,22,4,4,0,7.0,3,3,3.0,2,0,2,100101,259.125,Mid,0.0,1–3 Years,0
32,No,Travel_Rarely,827,Research and Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,No,13,3,4,0,1.0,2,3,1.0,0,0,0,100102,1478.0,Junior,0.0,0–1 Years,0
20,Yes,Travel_Frequently,871,Research and Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Yes,18,3,2,0,1.0,5,3,1.0,0,1,0,100103,1463.0,Junior,0.5,0–1 Years,0
34,No,Travel_Rarely,665,Research and Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,No,14,3,3,0,16.0,3,3,5.0,13,2,10,100104,282.88235294117646,Senior,0.3333333333333333,3–5 Years,0
37,No,Non-Travel,1040,Research and Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,No,14,3,4,1,17.0,2,4,1.0,0,0,0,100105,286.8333333333333,Senior,0.0,0–1 Years,1
59,No,Non-Travel,1420,Human Resources,2,4,Life Sciences,140,3,Female,32,2,5,Manager,4,Married,16790.5,21922,9,No,21,4,4,1,30.0,3,3,3.0,2,2,2,100106,541.6290322580645,Senior,0.5,1–3 Years,1
50,No,Travel_Frequently,1115,Research and Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,4945.5,9755,3,Yes,19,3,1,0,28.0,1,2,8.0,3,0,7,100107,170.5344827586207,Senior,0.0,5+ Years,0
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,Yes,11,3,4,0,6.0,1,3,6.0,4,0,3,100108,820.5714285714286,Mid,0.0,5+ Years,1
